Mod,Installation,Type,Tested,Notes 1,Notes 2,URL,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,Migration Notes
Animal Armor Trims - Horse & Wolf,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-armor-trims,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8097461,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8097461 (animal_armor_trims-neoforge-26.1.2-2.3.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8097461 (animal_armor_trims-neoforge-26.1.2-2.3.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_055_animal-armor-trims reached Done with no severe filtered errors.
Animal Feeding Trough [Fabric | Forge | Quilt | NeoForge],Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-feeding-trough,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8134834,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8134834 (animal_feeding_trough-1.2.1+26.1.2-neoforge.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8134834 (animal_feeding_trough-1.2.1+26.1.2-neoforge.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_023_animal-feeding-trough reached Done with no severe filtered errors.
Animal Garden - Alligator Gar,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-alligator-gar,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7885080,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7885080 (animalgarden-alligatorgar-1.0.0-neoforge-26.1.1.8.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7885080 (animalgarden-alligatorgar-1.0.0-neoforge-26.1.1.8.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_106_animal-garden-alligator-gar reached Done with no severe filtered errors.
Animal Garden - Bull Shark,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-bull-shark,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7885548,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7885548 (animalgarden-bullshark-1.1.1-neoforge-26.1.1.10.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7885548 (animalgarden-bullshark-1.1.1-neoforge-26.1.1.10.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_100_animal-garden-bull-shark reached Done with no severe filtered errors.
Animal Garden - Common Raven,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-common-raven,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7939588,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7939588 (animalgarden-commonraven-1.0.1-neoforge-26.1.2.10.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7939588 (animalgarden-commonraven-1.0.1-neoforge-26.1.2.10.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_098_animal-garden-common-raven reached Done with no severe filtered errors.
Animal Garden - Fennec Fox,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-fennec-fox,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7912822,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7912822 (animalgarden_fennecfox-1.0.2-neoforge-26.1.2.7.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7912822 (animalgarden_fennecfox-1.0.2-neoforge-26.1.2.7.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_101_animal-garden-fennec-fox reached Done with no severe filtered errors.
Animal Garden - Manatee,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-manatee,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7906988,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7906988 (animalgarden-manatee-1.0.2-neoforge-26.1.2.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7906988 (animalgarden-manatee-1.0.2-neoforge-26.1.2.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_095_animal-garden-manatee reached Done with no severe filtered errors.
Animal Garden - Meerkat,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-meerkat,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7910472,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7910472 (animalgarden-meerkat-1.0.6-neoforge-26.1.2.4.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7910472 (animalgarden-meerkat-1.0.6-neoforge-26.1.2.4.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_089_animal-garden-meerkat reached Done with no severe filtered errors.
Animal Garden - Mouse,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-mouse,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7910802,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7910802 (animalgarden-mouse-1.0.6-neoforge-26.1.2.4.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7910802 (animalgarden-mouse-1.0.6-neoforge-26.1.2.4.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_090_animal-garden-mouse reached Done with no severe filtered errors.
Animal Garden - Owl,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-owl,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7909518,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7909518 (animalgarden-owl-1.2.8-neoforge-26.1.2.4.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7909518 (animalgarden-owl-1.2.8-neoforge-26.1.2.4.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_088_animal-garden-owl reached Done with no severe filtered errors.
Animal Garden - Sugar Glider,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/animal-garden-sugar-glider,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7912601,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7912601 (animalgarden-sugarglider-1.0.1-neoforge-26.1.2.7.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7912601 (animalgarden-sugarglider-1.0.1-neoforge-26.1.2.7.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_102_animal-garden-sugar-glider reached Done with no severe filtered errors.
Antique Trading Ship,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/antique-trading-ship,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8111814,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8111814 (antiquetradingship-1.0.0 Neoforge 26.1.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8111814 (antiquetradingship-1.0.0 Neoforge 26.1.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_072_antique-trading-ship reached Done with no severe filtered errors.
Axes Are Weapons,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/axes-are-weapons,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8108686,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8108686 (AxesAreWeapons-1.10.2-neoforge-26.1.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8108686 (AxesAreWeapons-1.10.2-neoforge-26.1.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_058_axes-are-weapons reached Done with no severe filtered errors.
Bartering Station,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/bartering-station,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8013744,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8013744 (BarteringStation-v26.1.0-mc26.1.x-NeoForge.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8013744 (BarteringStation-v26.1.0-mc26.1.x-NeoForge.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_012_bartering-station reached Done with no severe filtered errors.
Better Animations Collection,Client only,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/better-animations-collection,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-03,CurseForge stable release file 8049282,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8049282 (BetterAnimationsCollection-v26.1.0-mc26.1.x-NeoForge.jar) for NeoForge 26.1.x. Client-only file added to client package as BetterAnimationsCollection-v26.1.0-mc26.1.x-NeoForge.jar; not installed on server.
Big Lost City - Apocalyptic Structures!,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/big-lost-city,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8110098,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8110098 (big_lost_city-1.0.1 Neoforge 26.1.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8110098 (big_lost_city-1.0.1 Neoforge 26.1.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_094_big-lost-city reached Done with no severe filtered errors.
Burger Mod (Forge / NeoForge),Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/autovws-burger-mod,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8154743,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8154743 (burgermod-neoforge-2.10.3-26.1.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8154743 (burgermod-neoforge-2.10.3-26.1.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_083_autovws-burger-mod reached Done with no severe filtered errors.
Castle in the Sky,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/castle-in-the-sky-the-fairytale-of-laputa,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8168379,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8168379 (castle_in_the_sky-26.1.2.1.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8168379 (castle_in_the_sky-26.1.2.1.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_046_castle-in-the-sky-the-fairytale-of-laputa reached Done with no severe filtered errors.
Crops Love Rain,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/crops-love-rain,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7812924,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7812924 (cropsloverain-3.2.1.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7812924 (cropsloverain-3.2.1.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_067_crops-love-rain reached Done with no severe filtered errors.
Gamingbarn's Guns,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/gamingbarns-guns,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7851420,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7851420 (gamingbarns-guns-V1.28.1-data.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7851420 (gamingbarns-guns-V1.28.1-data.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_105_gamingbarns-guns reached Done with no severe filtered errors.
Giant Cherry Blossom Bonsai Tree,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/giant-cherry-blossom-bonsai-tree,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8116372,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8116372 (giant_cherry_blossom_bonsai_tree-1.0.0 Neoforge 26.1.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8116372 (giant_cherry_blossom_bonsai_tree-1.0.0 Neoforge 26.1.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_099_giant-cherry-blossom-bonsai-tree reached Done with no severe filtered errors.
Grim Kingdoms: Lost structures & ruins,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/grim-kingdoms,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7780576,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7780576 (grim-kingdoms-lost-structures-ruins-v1.0.3 1.21.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7780576 (grim-kingdoms-lost-structures-ruins-v1.0.3 1.21.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_104_grim-kingdoms reached Done with no severe filtered errors.
Harvest with ease,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/harvest-with-ease,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8009541,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8009541 (harvest-with-ease-neoforge-26.1.2-9.4.0.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8009541 (harvest-with-ease-neoforge-26.1.2-9.4.0.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_016_harvest-with-ease reached Done with no severe filtered errors.
HealingBed,Client only,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/healingbed,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-03,CurseForge stable release file 8175035,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8175035 (healingbed 26.1 (neoforge).jar) for NeoForge 26.1.x. Client-only file added to client package as healingbed 26.1 (neoforge).jar; not installed on server.
Illagers Wear Armor,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/illagers-wear-armor,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7888661,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7888661 (illagersweararmor-26.1.1-3.0.0.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7888661 (illagersweararmor-26.1.1-3.0.0.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_034_illagers-wear-armor reached Done with no severe filtered errors.
Immersive Paintings [Fabric/Forge],Server + client,Mod,Failed,,,https://www.curseforge.com/minecraft/mc-mods/immersive-paintings,26.1.2,Rejected: boot test error,/var/minecraft_26.1.2/mods.failed,Not included,2026-06-03,CurseForge stable release file 8142453,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8142453 (immersive_paintings-neoforge-26.1.2-0.7.7.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8142453 (immersive_paintings-neoforge-26.1.2-0.7.7.jar) for NeoForge 26.1.x. Rejected after boot test 20260603_batch2_031_immersive-paintings: status=exited
Immersive Vehicles,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/minecraft-transport-simulator,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8148961,"Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge beta file 8148961 (Immersive Vehicles-26.1-24.0.0.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge beta file 8148961 (Immersive Vehicles-26.1-24.0.0.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_049_minecraft-transport-simulator reached Done with no severe filtered errors. Final validation 20260603_batch2_final_active_set reached Done, but logs include nonfatal MTSERROR model/advancement parse lines from the vehicle stack."
"Immersive Vehicles (MTS/IV) - Official Content Pack - [OCP] - Planes, Cars, Helicopters & More!",Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/transport-simulator-official-vehicle-set,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8149858,"Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge beta file 8149858 (MTS Official Pack-26.1-V29.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge beta file 8149858 (MTS Official Pack-26.1-V29.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_060_transport-simulator-official-vehicle-set reached Done with no severe filtered errors. Final validation 20260603_batch2_final_active_set reached Done, but logs include nonfatal OAmP/MTS model compatibility parse lines."
Immersive Vehicles - Official Automobile Pack - [OAmP] - Best Cars Race and new cars Ultimate Drive,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/mts-iv-official-automobile-pack,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8149856,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge beta file 8149856 (OAmP-1.26.1-V3.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge beta file 8149856 (OAmP-1.26.1-V3.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_096_mts-iv-official-automobile-pack reached Done with no severe filtered errors.
Incendium,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/incendium,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7842258,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7842258 (Incendium_26.1_v5.4.12.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7842258 (Incendium_26.1_v5.4.12.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_014_incendium reached Done with no severe filtered errors.
Infinity Water Bucket,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/infinity-water-bucket,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7827087,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7827087 (Infinity-Water-Bucket-NeoForge-26.1-3.0.0.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7827087 (Infinity-Water-Bucket-NeoForge-26.1-3.0.0.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_092_infinity-water-bucket reached Done with no severe filtered errors.
Kelp Fertilizer,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/kelp-fertilizer,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7902083,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7902083 (kelpfertilizer-26.1.2-3.4.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7902083 (kelpfertilizer-26.1.2-3.4.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_076_kelp-fertilizer reached Done with no severe filtered errors.
LambDynamicLights,Client only,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/lambdynamiclights,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-03,CurseForge stable release file 7958212,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7958212 (lambdynamiclights-4.10.2+26.1.2.jar) for NeoForge 26.1.x. Client-only file added to client package as lambdynamiclights-4.10.2+26.1.2.jar; not installed on server.
LTX Industries,Server + client,Mod,Failed,,,https://www.curseforge.com/minecraft/mc-mods/ltx-industries,26.1.2,Rejected: boot test error,/var/minecraft_26.1.2/mods.failed,Not included,2026-06-03,CurseForge stable release file 8172010,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8172010 (ltxi-26.1.2-1.1.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8172010 (ltxi-26.1.2-1.1.2.jar) for NeoForge 26.1.x. Rejected after boot test 20260603_batch2_110_ltx-industries: status=exited
Luminax,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/luminax,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8087216,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8087216 (luminax-2.0.1+26.1.2.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8087216 (luminax-2.0.1+26.1.2.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_042_luminax reached Done with no severe filtered errors.
Macaw's Holidays,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-holidays,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7809943,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7809943 (mcw-holidays-1.1.2-mc26.1neoforge.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7809943 (mcw-holidays-1.1.2-mc26.1neoforge.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_029_macaws-holidays reached Done with no severe filtered errors.
Macaw's Paintings,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-paintings,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7845049,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7845049 (mcw-paintings-1.1.0-mc26.1neoforge.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7845049 (mcw-paintings-1.1.0-mc26.1neoforge.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_006_macaws-paintings reached Done with no severe filtered errors.
Magnum Torch,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/magnum-torch,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8004736,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8004736 (MagnumTorch-v26.1.0-mc26.1.x-NeoForge.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8004736 (MagnumTorch-v26.1.0-mc26.1.x-NeoForge.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_009_magnum-torch reached Done with no severe filtered errors.
MBS - Moog's Bountiful Structures,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/mbs-moogs-bountiful-structures,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8144990,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8144990 (MoogsBountifulStructures-1.21-1.0.6.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8144990 (MoogsBountifulStructures-1.21-1.0.6.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_036_mbs-moogs-bountiful-structures reached Done with no severe filtered errors.
Mine Treasure,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/mine-treasure,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7818093,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7818093 (mine-treasure-1.6.3.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7818093 (mine-treasure-1.6.3.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_085_mine-treasure reached Done with no severe filtered errors.
More Axolotl Variants Mod,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/mavm,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7809653,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 7809653 (mavm-2.1.0+26.1-neoforge.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 7809653 (mavm-2.1.0+26.1-neoforge.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_022_mavm reached Done with no severe filtered errors.
More Babies,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/more-babies,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8121265,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8121265 (More Babies-3.0.0-neoforge+mc26.1.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8121265 (More Babies-3.0.0-neoforge+mc26.1.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_053_more-babies reached Done with no severe filtered errors.
More Beautiful Stairs,Server + client,Mod,Failed,,,https://www.curseforge.com/minecraft/mc-mods/more-several-stairs,26.1.2,Rejected: boot test error,/var/minecraft_26.1.2/mods.failed,Not included,2026-06-03,CurseForge stable release file 8047536,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8047536 (MoreStairs-neoforge-26.1.2-3.0.0.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8047536 (MoreStairs-neoforge-26.1.2-3.0.0.jar) for NeoForge 26.1.x. Rejected after boot test 20260603_batch2_108_more-several-stairs: status=exited
More Bows and Arrows | Major Update Available!,Server + client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/more-bows-and-arrows,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8110041,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03. Selected CurseForge stable file 8110041 (more_bows_and_arrows-neoforge-26.1.2-5.0.3.jar) for NeoForge 26.1.x. Compatible server candidate found; server test deferred. Selected CurseForge stable file 8110041 (more_bows_and_arrows-neoforge-26.1.2-5.0.3.jar) for NeoForge 26.1.x. Boot test 20260603_batch2_054_more-bows-and-arrows reached Done with no severe filtered errors.
