Mod,Category,Installation,Type,Tested,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,URL,DB Notes
"Immersive Vehicles (MTS/IV) - Official Content Pack - [OCP] - Planes, Cars, Helicopters & More!",Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8149858,https://www.curseforge.com/minecraft/mc-mods/transport-simulator-official-vehicle-set,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Immersive Vehicles - Official Automobile Pack - [OAmP] - Best Cars Race and new cars Ultimate Drive,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8149856,https://www.curseforge.com/minecraft/mc-mods/mts-iv-official-automobile-pack,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Incendium,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7842258,https://www.curseforge.com/minecraft/mc-mods/incendium,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Infinity Water Bucket,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7827087,https://www.curseforge.com/minecraft/mc-mods/infinity-water-bucket,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Jungle Moai Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887480,https://www.curseforge.com/minecraft/mc-mods/jungle-moai-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Just Enough Guns New,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8156113,https://www.curseforge.com/minecraft/mc-mods/just-enough-guns-for-neoforge,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Kelp Fertilizer,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7902083,https://www.curseforge.com/minecraft/mc-mods/kelp-fertilizer,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
LambDynamicLights,Requested URL batch,Client only,Mod,OK,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-03,CurseForge stable release file 7958212,https://www.curseforge.com/minecraft/mc-mods/lambdynamiclights,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Leash Everything,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7998122,https://www.curseforge.com/minecraft/mc-mods/leash-everything,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Luminax,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8087216,https://www.curseforge.com/minecraft/mc-mods/luminax,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Luxury Building Pack,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8091274,https://www.curseforge.com/minecraft/mc-mods/luxury-building-pack,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Lymonite Horse Armor,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7904671,https://www.curseforge.com/minecraft/mc-mods/lymonite-horse-armor,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Macaw's Holidays,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7809943,https://www.curseforge.com/minecraft/mc-mods/macaws-holidays,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Macaw's Paintings,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7845049,https://www.curseforge.com/minecraft/mc-mods/macaws-paintings,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Magic Cauldrons,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7819863,https://www.curseforge.com/minecraft/mc-mods/magic-cauldrons,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Magnum Torch,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8004736,https://www.curseforge.com/minecraft/mc-mods/magnum-torch,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Mangrove Mud Moai Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887486,https://www.curseforge.com/minecraft/mc-mods/mangrove-mud-moai-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Maple's Chicken Collection,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7920714,https://www.curseforge.com/minecraft/mc-mods/maples-chicken-collection,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Maple's Frog Collection,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7987531,https://www.curseforge.com/minecraft/mc-mods/maples-frog-collection,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
MBS - Moog's Bountiful Structures,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8144990,https://www.curseforge.com/minecraft/mc-mods/mbs-moogs-bountiful-structures,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Mine Treasure,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7818093,https://www.curseforge.com/minecraft/mc-mods/mine-treasure,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Moai Andesite Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887490,https://www.curseforge.com/minecraft/mc-mods/moai-andesite-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Cowboy Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887495,https://www.curseforge.com/minecraft/mc-mods/moai-cowboy-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Moai Diorite Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887500,https://www.curseforge.com/minecraft/mc-mods/moai-diorite-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Golem Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887503,https://www.curseforge.com/minecraft/mc-mods/moai-golem-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Granite Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887507,https://www.curseforge.com/minecraft/mc-mods/moai-granite-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Japanese Soldier Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887513,https://www.curseforge.com/minecraft/mc-mods/moai-japanese-soldier-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Moai Mustache Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887432,https://www.curseforge.com/minecraft/mc-mods/moai-mustache-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Moai Pillager Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887527,https://www.curseforge.com/minecraft/mc-mods/moai-pillager-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Prismarine King Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887543,https://www.curseforge.com/minecraft/mc-mods/moai-prismarine-king-statue,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Moai Tuff Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887596,https://www.curseforge.com/minecraft/mc-mods/moai-tuff-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Villager King,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7913637,https://www.curseforge.com/minecraft/mc-mods/moai-villager-king,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Moai Villager Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887631,https://www.curseforge.com/minecraft/mc-mods/moai-villager-statue,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
More Axolotl Variants Mod,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7809653,https://www.curseforge.com/minecraft/mc-mods/mavm,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
More Babies,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8121265,https://www.curseforge.com/minecraft/mc-mods/more-babies,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
More Bows and Arrows | Major Update Available!,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8110041,https://www.curseforge.com/minecraft/mc-mods/more-bows-and-arrows,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
MP - Moog's Paths,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8117751,https://www.curseforge.com/minecraft/mc-mods/mp-moogs-paths,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
MTR - Moog's Temples Reimagined,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8052830,https://www.curseforge.com/minecraft/mc-mods/mtr-moogs-temples-reimagined,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Much More Dungeons,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8006660,https://www.curseforge.com/minecraft/mc-mods/much-more-dungeons,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Mutant Monsters,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8142073,https://www.curseforge.com/minecraft/mc-mods/mutant-monsters,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
New Cars [Immersive Vehicles/IV/MTS],Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8168575,https://www.curseforge.com/minecraft/mc-mods/new-cars,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Ocean Lily Pad Village,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7951225,https://www.curseforge.com/minecraft/mc-mods/ocean-lily-pad-village,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Pale Garden Outpost,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7820031,https://www.curseforge.com/minecraft/mc-mods/pale-garden-outpost,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Pale Garden Trader,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8167051,https://www.curseforge.com/minecraft/mc-mods/pale-garden-trader,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Piglin Conservatory Structures,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7820071,https://www.curseforge.com/minecraft/mc-mods/piglin-conservatory-structures,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Pipe Guns,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887022,https://www.curseforge.com/minecraft/mc-mods/pipe-guns,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Plushables,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8171796,https://www.curseforge.com/minecraft/mc-mods/plushables,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Productive Farming,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8183142,https://www.curseforge.com/minecraft/mc-mods/productivefarming,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Realistic Bees,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7901932,https://www.curseforge.com/minecraft/mc-mods/realistic-bees,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Safe Leash,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8094436,https://www.curseforge.com/minecraft/mc-mods/safe-leash,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Savanna Elephant Statue,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7832022,https://www.curseforge.com/minecraft/mc-mods/savanna-elephant-statue,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Shield Upgrades (Fabric/Forge/NeoForge/Quilt),Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7606724,https://www.curseforge.com/minecraft/mc-mods/shield-upgrades,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Simple Structures: Caves,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge beta release file 7812070,https://www.curseforge.com/minecraft/mc-mods/simple-structures-caves,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Simple Structures: Desert,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge beta release file 7812074,https://www.curseforge.com/minecraft/mc-mods/simple-structure-desert,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Simple Structures: Mushroom Fields,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge beta release file 7812080,https://www.curseforge.com/minecraft/mc-mods/simple-structure-mushroom-fields,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Simple Weather,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7860233,https://www.curseforge.com/minecraft/mc-mods/simple-weather,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Simplest Watering Can,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7926761,https://www.curseforge.com/minecraft/mc-mods/simplest-watering-can,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Skeleton Ghost Ship,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7980049,https://www.curseforge.com/minecraft/mc-mods/skeleton-ghost-ship,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Small Structures,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8027637,https://www.curseforge.com/minecraft/mc-mods/small-structures,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Stoneworks,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7995178,https://www.curseforge.com/minecraft/mc-mods/stoneworks,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Storage Delight,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,Modrinth release release file bd8yGeyn,https://modrinth.com/mod/storage-delight,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
The Lost City,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7816165,https://www.curseforge.com/minecraft/mc-mods/the-lost-city,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Tiny Skeletons,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8047499,https://www.curseforge.com/minecraft/mc-mods/tiny-skeletons,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
TNTUtils,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 7659387,https://www.curseforge.com/minecraft/mc-mods/tntutils,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
TorchBowMod,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7827889,https://www.curseforge.com/minecraft/mc-mods/torchbowmod,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Trade Cycling,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8020647,https://www.curseforge.com/minecraft/mc-mods/trade-cycling,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
"Underground Villages, Stoneholm (Fabric/Forge/NeoForge)",Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8173285,https://www.curseforge.com/minecraft/mc-mods/underground-villages-stoneholm,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Universal Bone Meal,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7999946,https://www.curseforge.com/minecraft/mc-mods/universal-bone-meal,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
"Villagers Respawn  (for Forge, Fabric,NeoForge)",Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7818536,https://www.curseforge.com/minecraft/mc-mods/villagers-respawn,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Waddles,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7829226,https://www.curseforge.com/minecraft/mc-mods/waddles,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Walled City Structure,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,Modrinth release release file TFIVDv0U,https://modrinth.com/mod/walled-city-structure,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Weaker Spiderwebs,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7901786,https://www.curseforge.com/minecraft/mc-mods/weaker-spiderwebs,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
yiche's automatedharvest,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8118107,https://www.curseforge.com/minecraft/mc-mods/yiches-automatedharvest,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Yumemigusa,Requested URL batch,Client only,Mod,OK,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-04,CurseForge stable release file 7873365,https://www.curseforge.com/minecraft/mc-mods/yumemigusa,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Yuushya Townscape,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,Modrinth beta release file KanPF2Bk,https://modrinth.com/mod/yuushya-townscape,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
AI Improvements,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,AI-Improvements-26.1.1-0.5.4.jar,Included,2026-06-03,CurseForge stable release file 7878374,https://www.curseforge.com/minecraft/mc-mods/ai-improvements/files/7878374,No exact 26.1.2 file found; stable 26.1.1 NeoForge file passed on 26.1.2.
Alternate Current,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,alternate_current-mc26.1-1.9.0.jar,Included,2026-06-03,CurseForge stable release file 7872068,https://www.curseforge.com/minecraft/mc-mods/alternate-current/files/7872068,"Boot test row33_alternate_current passed: STATUS=started, ERROR_LINES=0."
Connectivity,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,connectivity-26.1-7.6.jar,Included,2026-06-03,CurseForge stable release file 7866655,https://www.curseforge.com/minecraft/mc-mods/connectivity/files/7866655,Initial test failed missing Cupboard.
Cupboard,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,cupboard-26.1-3.7.jar,Included,2026-06-03,CurseForge stable release file 7904113,https://www.curseforge.com/minecraft/mc-mods/cupboard/files/7904113,Installed early because Connectivity requires Cupboard >=3.1.
Dynamic View,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,dynamicviewdist-26.1-4.0.jar,Included,2026-06-03,CurseForge stable release file 8021515,https://www.curseforge.com/minecraft/mc-mods/dynamic-view/files/8021515,"Boot test row29_dynamic_view passed: STATUS=started, ERROR_LINES=0."
FerriteCore,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,ferritecore-9.0.0-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7806039,https://www.curseforge.com/minecraft/mc-mods/ferritecore/files/7806039,Boot test row25_ferritecore passed previously.
Lithium,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,lithium-neoforge-0.24.4+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8161947,https://www.curseforge.com/minecraft/mc-mods/lithium/files/8161947,"Boot test row23_lithium passed: STATUS=started, ERROR_LINES=0."
ModernFix,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,modernfix-neoforge-5.27.12+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8099992,https://www.curseforge.com/minecraft/mc-mods/modernfix/files/8099992,"Boot test row34_modernfix passed: STATUS=started, ERROR_LINES=0."
ServerCore,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,servercore-neoforge-1.5.17+26.1.2.jar,Included,2026-06-03,Modrinth release tcwIcZH7,https://modrinth.com/mod/servercore/version/tcwIcZH7,Initial test exposed stale 1.21.8 ServerCore config category GLARES.
Smooth Chunk Save,Server Optimizer,Server & Client,Server Optimizer,OK,26.1.2,OK,smoothchunk-26.1-4.2.jar,Included,2026-06-03,CurseForge stable release file 7898824,https://www.curseforge.com/minecraft/mc-mods/smooth-chunk-save/files/7898824,"Boot test row30_smooth_chunk_save passed: STATUS=started, ERROR_LINES=0."
Aquaculture 2,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,Aquaculture-26.1.1-2.9.1.jar,Included,2026-06-03,CurseForge stable release file 7901645,https://www.curseforge.com/minecraft/mc-mods/aquaculture,Added 2026-06-03.
Artifacts,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,artifacts-neoforge-15.0.0.jar,Included,2026-06-03,CurseForge stable release file 7956096,https://www.curseforge.com/minecraft/mc-mods/artifacts,Added 2026-06-03 after verifying CurseForge file page.
Cooking for Blockheads,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,cookingforblockheads-neoforge-26.1.2-26.1.2.2.jar,Included,2026-06-03,CurseForge stable release file 8091670,https://www.curseforge.com/minecraft/mc-mods/cooking-for-blockheads,Added 2026-06-03.
Croptopia,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,croptopia-neoforge-26.1.2-4.3.1.jar + epherolib-neoforge-26.1-1.3.0.jar,Included,2026-06-03,CurseForge stable release file 8085081; dependency EpheroLib 7937982,https://www.curseforge.com/minecraft/mc-mods/croptopia/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row116_croptopia reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
DnT Stronghold Overhaul,Test New Mods,Server,Mod,OK,26.1.2,OK,DnT-stronghold-overhaul-v2.4.0 [NeoForge].jar,Not required (server-only),2026-06-03,CurseForge stable release file 7320690,https://www.curseforge.com/minecraft/mc-mods/dnt-stronghold-overhaul/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row119_dnt_stronghold reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Dungeon Crawl,Test New Mods,Server + client,Mod,OK,NeoForge 26.1.x / server 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 7887378 from actual mc-mods project 324973,https://www.curseforge.com/minecraft/mc-mods/dungeon-crawl,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate.
Dungeons and Taverns,Test New Mods,Server,Mod,OK,26.1.2,OK,dungeons-and-taverns-5.2.0 [NeoForge].jar,Not required (server-only),2026-06-03,CurseForge stable release file 7816696,https://www.curseforge.com/minecraft/mc-mods/dungeon-and-taverns/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row123_dungeons_and_taverns reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Dynamic Trees,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,dynamictrees-neoforge-26.1.2-1.8.0-BETA01.jar,Included,2026-06-03,CurseForge beta release file 8132718,https://www.curseforge.com/minecraft/mc-mods/dynamictrees/files/all?page=1&pageSize=20&gameVersionTypeId=6,Accepted under relaxed beta policy.
