Mod,Installation,Type,Tested, Notes 1,Notes 2,URL,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,Migration Notes
Library Ferret - NeoForge,Server & Client,API,Skip,,,https://www.curseforge.com/minecraft/mc-mods/library-ferret-neoforge/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Lithostitched,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/lithostitched/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,lithostitched-1.7.9-neoforge-26.1.jar,Included,2026-06-03,CurseForge stable release file 8158006,Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row87_lithostitched reached Done and stopped cleanly; copied to client package.
M.R.U,Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/mru/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,client-package/mods/mru-1.0.28+lts+26.1-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7805937,"Client-only NeoForge mod/API, not installed on the server. Latest stable 26.1.x-compatible NeoForge jar was copied to client-package/mods."
Magma Core,Server & Client,API,Skip,,,https://www.curseforge.com/minecraft/mc-mods/magma-core/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
More Azaleas,Client,Resource Pack,Skip,,,https://www.curseforge.com/minecraft/texture-packs/more-azaleas/files/all?page=1&pageSize=20,26.1.2,Skipped: no compatible stable release,Not installed on server,Not included,2026-06-03,CurseForge project 581085,CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
More Fungi,Client,Resource Pack,Skip,,,https://www.curseforge.com/minecraft/texture-packs/more-fungi/files/all?page=1&pageSize=20,26.1.2,Skipped: no compatible stable release,Not installed on server,Not included,2026-06-03,CurseForge project 454245,CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
More Mobs,Server,Datapack,Skip,,,https://www.curseforge.com/minecraft/data-packs/more-mobs/files/all?page=1&pageSize=20,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge project 46646,"CurseForge API returned no stable datapack/files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
More Pots+,Client,Resource Pack,Skip,,,https://www.curseforge.com/minecraft/texture-packs/more-pots/files/all?page=1&pageSize=20,26.1.2,Skipped: no compatible stable release,Not installed on server,Not included,2026-06-03,CurseForge project 581793,CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Resourceful Lib,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/resourceful-lib/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,ResourcefulLib-4.0.1.jar,Included,2026-06-03,CurseForge stable release file 7927296,Boot test row94_resourceful_lib_early reached Done and stopped cleanly; stable NeoForge 26.1.x jar is installed and copied to the client package.
Spring Flowers,Client,Resource Pack,Skip,,,https://www.curseforge.com/minecraft/texture-packs/spring-flowers/files/all?page=1&pageSize=20,26.1.2,Skipped: no compatible stable release,Not installed on server,Not included,2026-06-03,CurseForge project 1359386,CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
SuperMartijn642's Core Lib,Server & Client,API,Skip,Additional Lanterns,,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-core-lib/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge project 454372,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
TerraBlender,Server & Client,API,OK,Biomes O' Plenty,,https://modrinth.com/mod/terrablender/versions,26.1.2,OK,TerraBlender-neoforge-26.1.2-26.1.2.0.2.jar,Included,2026-06-03,Modrinth beta version rg59ugAw,Accepted as beta dependency under relaxed policy. Boot test row97_terrablender_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package.
Tschipcraft's Dynamic Lights,Server,Datapack,OK,/trigger tschipcraft.menu,,https://www.curseforge.com/minecraft/data-packs/tschipcrafts-dynamic-lights,26.1.2,OK,dynamiclights-v1.9.2-mc1.17-26.1.1-datapack.zip,Not required (server datapack),2026-06-03,CurseForge stable release file 7875444,Stored in server-datapacks and copied to world/datapacks. Boot test row98_tschip_dynamic_lights_datapack detected both dynamic lights and Furnicraft datapacks and reached Done cleanly.
YetAnotherConfigLib,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/yacl/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,yet_another_config_lib_v3-3.9.3+26.1-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7904437,Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row99_yacl reached Done and stopped cleanly; copied to client package.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Test New Mods,,,,,,,,,,,,,
Cherry Hut,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/cherry-hut/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
ChickensShed,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/chickensshed/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Chimes,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/chimes/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
ChocoCraft,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/chococraft/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
ChoiceTheorem's Overhauled Village,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/choicetheorems-overhauled-village/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
CobbleFurnies,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/cobblefurnies/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Coffee Spawner,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/coffee-spawner/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Create Big Cannons,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/create-big-cannons/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Create Big Cannons: Advanced Technologies,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/create-big-cannons-advanced-technologies/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Create: Escalated,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/create-escalated/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Create: Rustic Structures ,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/create-rustic-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Create: Structures Arise,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/create-structures-arise/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Critters and Companions,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/critters-and-companions/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Croptopia,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/croptopia/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,croptopia-neoforge-26.1.2-4.3.1.jar + epherolib-neoforge-26.1-1.3.0.jar,Included,2026-06-03,CurseForge stable release file 8085081; dependency EpheroLib 7937982,Boot test row116_croptopia reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied both jars to client package.
Custom fences and walls,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/customfence/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,customfence-26-1.jar,Included,2026-06-03,CurseForge stable release file already accepted earlier in sheet,Duplicate row; jar was already installed and copied to client package. Cumulative boot test row117_customfence_duplicate reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Desert Oasis,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/desert-oasis/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
DnT Stronghold Overhaul,Server,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/dnt-stronghold-overhaul/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,DnT-stronghold-overhaul-v2.4.0 [NeoForge].jar,Not required (server-only),2026-06-03,CurseForge stable release file 7320690,"Boot test row119_dnt_stronghold reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. File is tagged Server-only, so not copied to client package."
Dragonite Gear,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/dragonite-gear/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Duckling,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/duckling/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Dungeon Crawl,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/dungeon-crawl/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Dungeons and Taverns,Server,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/dungeon-and-taverns/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,dungeons-and-taverns-5.2.0 [NeoForge].jar,Not required (server-only),2026-06-03,CurseForge stable release file 7816696,"Boot test row123_dungeons_and_taverns reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. File is tagged Server-only, so not copied to client package."
Dungeons Enhanced,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/dungeonsenhanced/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Dynamic Trees,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/dynamictrees/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,dynamictrees-neoforge-26.1.2-1.8.0-BETA01.jar,Included,2026-06-03,CurseForge beta release file 8132718,Accepted under relaxed beta policy. Boot test row125_dynamictrees_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package.
Dynamic Trees Pam's Harvestcraft 2: Trees,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/dynamic-trees-pams-harvestcraft-2/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Ecologics,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/ecologics/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: log error,Moved to mods.failed/row127_ecologics/Ecologics-NeoFab-26.1.2-2.5.0.jar,Not included,2026-06-03,CurseForge stable release file 8111342,Boot test row127_ecologics reached Done but logged a real NeoForge global loot modifiers parse error for ecologics:music_disc_buried_treasure. Removed from active mods and quarantined.
Elytra Physics,Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/elytra-physics/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,client-package/mods/elytra_physics-neoforge-2.6_mc26.1.jar,Included,2026-06-03,CurseForge stable release file 8114891,"Client-only NeoForge mod, not installed on the server. Strict loader check selected the NeoForge jar, not the Fabric file, and copied it to client-package/mods."
Fantasy's Furniture,Server & Client,Mod,Crash,,,https://www.curseforge.com/minecraft/mc-mods/fantasys-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: registry crash,mods.failed/row129_fantasys_furniture_relaxed_sets/*.jar,Not included,2026-06-03,CurseForge stable base 8050253 plus set modules 8050254/8050255/8050256/8050258/8050260/8050261/8050262; ApexCore 8097812,Base-only install still lacks furniture sets. Relaxed retry with all compatible set modules failed startup with Fantasy Furniture Bone registry errors and a secondary Dynamic Trees registry error. Entire retry group quarantined and not included.
Farmer's Delight,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/farmers-delight/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Fire Arrows Ignite Fire,Server,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/fire-arrows-start-fire/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: log error,Moved to mods.failed/row131_fire_arrows/firearrows-neoforge-26.1.2-13.4.jar + deimos-26.1.2-neoforge-2.6.1.jar,Not included,2026-06-03,CurseForge stable release file 7902361; dependency Deimos Lib 8124492,Boot test row131_fire_arrows reached Done but logged a recipe parse failure involving invalid resource location '#minecraft:metal_nuggets ' with a trailing space. Removed from active mods and quarantined.
Fisherman's Trap,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/fishermans-trap/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Flower Seeds 2,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/flower-seeds/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Formations Overworld,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/formations-overworld/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Friends&Foes - Flowery Mooblooms,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/friends-and-foes-flowery-mooblooms-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Dependency rejected,Not installed,Not included,2026-06-03,CurseForge stable release file 8156196 requires Friends&Foes base mod,Skipped because required dependency Friends&Foes was already rejected earlier for a real NeoForge global loot modifiers parse error.
FTB Ocean Mobs,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/ftb-ocean-mobs/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Golden Apple Tree,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/golden-apple-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,Golden_Apple_Tree-1.2.6-26.1.2-NeoForge.jar,Included,2026-06-03,CurseForge stable release file 7972475,Boot test row137_golden_apple_tree reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied to client package.
Grimoire of Gaia,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/grimoire-of-gaia/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: missing Patchouli dependency,mods.failed/row138_grimoireofgaia_relaxed/GrimoireOfGaia4-26.1.2-7.0.0-alpha.2.jar,Not included,2026-06-03,CurseForge beta file 8002156; no compatible Patchouli 26.x dependency found on CurseForge or Modrinth,Server reached Done but logged a real data parse error for grimoireofgaia:gaiapedia because patchouli:guide_book/component is unavailable. No config toggle found; quarantined and not included.
Guard Villagers,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/guard-villagers/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,guardvillagers-3.0.2-26.1.0.jar,Included,2026-06-03,CurseForge stable release file 8112011,"Boot test row139_guard_villagers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. CurseForge marks file stable and 26.1.2-compatible, though the mod update checker reports BETA. Copied to client package."
Guns ++,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/guns-plusplus/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,guns++-5.9.5.jar,Included,2026-06-03,CurseForge stable release file 7809034,"Stable 26.1 NeoForge file tested successfully on 26.1.2. Boot test row140_guns_pp reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Mod update checker reports BETA, but CurseForge file is stable. Copied to client package."
Handcrafted,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/handcrafted/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Happy Ghast Backport,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/happy-ghast-backport/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Haunted House,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/haunted-house/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Hopo Better Underwater Ruins,Server,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/hopo-better-underwater-ruins/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,HopoBetterUnderwaterRuins-[26.1]-1.2.7.jar,Not required (server-only),2026-06-03,CurseForge stable release file 7845611,Stable 26.1 Server-only NeoForge file tested successfully on 26.1.2. Boot test row144_hopo_underwater_ruins reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Human Era: Vanilla Military X Fresh Animations,Client,Resource Pack,OK,,,https://www.curseforge.com/minecraft/texture-packs/human-era-vanilla-military/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/HumanEraVanillaMilitary[4.6].zip,Included,2026-06-03,CurseForge stable release file 7443043,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Human Era: Villagers & Illagers X Fresh Animations,Client,Resource Pack,OK,,,https://www.curseforge.com/minecraft/texture-packs/human-era-villagers-illagers/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/HumanEraVillagersIllagers[3.91.2].zip,Included,2026-06-03,CurseForge stable release file 7841198,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Hunter'sReturn,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/huntersreturn/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,hunters_return-26.1.2-31.1.0.jar,Included,2026-06-03,CurseForge stable release file 8139580; uses existing Bagus Lib dependency,Boot test row147_hunters_return reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied to client package.
Ice and Fire: Dragons,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/ice-and-fire-dragons,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Illager Warship,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/illager-warship/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,illagerwarship-1.0.0 Neoforge 26.1.2.jar,Included,2026-06-03,CurseForge stable release file 7931473,"Boot test row149_illager_warship reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Jar metadata lacks server-only display policy and declares BOTH-side dependencies, so copied to client package."
Immersive Aircraft ,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Immersive structures,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/immersive-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Improved Pillager Outpost,Server,Datapack,Skip,,,https://www.curseforge.com/minecraft/data-packs/improved-pillager-outpost-datapack/files/all?page=1&pageSize=20,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 datapack file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Improved Village Placement,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/improved-village-placement/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Infinite Trading,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/infinite-trading/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,infinitetrading-26.1.2-5.0.jar + collective-26.1.2-8.22.jar,Included,2026-06-03,CurseForge stable release file 8020696; dependency Collective 8021353,"Boot test row154_infinite_trading reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Metadata declares BOTH-side dependencies and no server-only display policy, so both jars copied to client package."
Integrated Villages,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/integrated-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Integrated Villages- Configuration,Server,Datapack,Skip,,,https://www.curseforge.com/minecraft/data-packs/integrated-villages-configuration/files/all?page=1&pageSize=20,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 datapack file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
